SYMBOLS,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1
Air,,,,,,
Qa,Aluvial,Alluvium,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: river,
Qac,Endapan Pantai,Coastal deposits,Sediment: clastic: alluvium,Sedimentation: river,Sedimentation: river,
Qaf,Endapan Dataran Banjir,Flood plain deposits,Sediment: clastic: fine: claystone,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qav1,Unit batupasir,Unit Sandstone,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qav3,Kipas Aluvial,Alluvium Fans,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qbr,Endapan punggungan pantai,Beach Ridge Deposit,Sediment: clastic: medium: sandstone,Sedimentation: littoral: beach,Sedimentation: littoral: beach,
Ql,Batugamping Terumbu,Reef Limestone,Sediment: reef: limestone,Sedimentation: transitional,Sedimentation: transitional,
Qnd,Endapan laut dangkal,Shallow marine deposite,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: transitional,
Qoa,Aluvium Tua,Older Alluvium,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qpb1,Formasi Bojong,Bojong Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: littoral,
Qpvb,Tufa Banten Atas,Upper Banten Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qsd,Swamp deposits,Swamp deposits,Sediment: clastic: fine: claystone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
QTvb1,Tuff Banten,Banten Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qv1,Batuan gunungapi muda,Young volcanic,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
