year,month,day,hour,H_mean,D_mean,Z_mean,minute,timestamp,dhdt,dddt,el_x,el_y
2024,5,10,0,40441.65,-17.41,-11030.68,0,2024-05-10 00:00:00,,,,
2024,5,10,0,40441.55,-17.76,-11030.77,1,2024-05-10 00:01:00,-0.0016666666666424134,-0.005833333333333357,,
2024,5,10,0,40441.9,-18.44,-11030.9,2,2024-05-10 00:02:00,0.00583333333330908,-0.011333333333333329,,
2024,5,10,0,40442.0,-18.83,-11031.01,3,2024-05-10 00:03:00,0.0016666666666424134,-0.00649999999999995,,
2024,5,10,0,40442.09,-19.46,-11031.09,4,2024-05-10 00:04:00,0.0014999999999417923,-0.010500000000000042,,
2024,5,10,0,40442.65,-19.72,-11031.12,5,2024-05-10 00:05:00,0.009333333333415794,-0.0043333333333333,,
2024,5,10,0,40442.6,-19.63,-11031.21,6,2024-05-10 00:06:00,-0.0008333333333818397,0.0014999999999999976,,
2024,5,10,0,40442.48,-19.49,-11031.24,7,2024-05-10 00:07:00,-0.00199999999992239,0.0023333333333333426,,
2024,5,10,0,40442.42,-19.54,-11031.49,8,2024-05-10 00:08:00,-0.0010000000000824608,-0.0008333333333333452,,
2024,5,10,0,40442.42,-19.53,-11031.64,9,2024-05-10 00:09:00,0.0,0.0001666666666666335,,
2024,5,10,0,40442.69,-19.62,-11031.67,10,2024-05-10 00:10:00,0.004500000000067909,-0.0014999999999999976,,
2024,5,10,0,40443.06,-19.63,-11031.9,11,2024-05-10 00:11:00,0.006166666666589057,-0.0001666666666666335,,
2024,5,10,0,40443.28,-20.04,-11031.95,12,2024-05-10 00:12:00,0.003666666666686069,-0.006833333333333335,,
2024,5,10,0,40443.52,-20.39,-11032.05,13,2024-05-10 00:13:00,0.0039999999999660455,-0.005833333333333357,,
2024,5,10,0,40443.79,-20.6,-11032.03,14,2024-05-10 00:14:00,0.004500000000067909,-0.0035000000000000144,,
2024,5,10,0,40444.03,-20.91,-11032.17,15,2024-05-10 00:15:00,0.0039999999999660455,-0.005166666666666645,,
2024,5,10,0,40444.06,-21.05,-11032.21,16,2024-05-10 00:16:00,0.0004999999999805975,-0.0023333333333333426,,
2024,5,10,0,40444.41,-21.1,-11032.35,17,2024-05-10 00:17:00,0.005833333333430346,-0.0008333333333333452,,
2024,5,10,0,40444.65,-21.22,-11032.44,18,2024-05-10 00:18:00,0.0039999999999660455,-0.0019999999999999575,,
2024,5,10,0,40444.85,-21.47,-11032.53,19,2024-05-10 00:19:00,0.0033333333332848268,-0.004166666666666667,,
2024,5,10,0,40444.8,-21.63,-11032.53,20,2024-05-10 00:20:00,-0.0008333333332605738,-0.002666666666666669,,
2024,5,10,0,40445.03,-21.76,-11032.62,21,2024-05-10 00:21:00,0.0038333333332654243,-0.0021666666666667095,,
2024,5,10,0,40445.33,-21.49,-11032.61,22,2024-05-10 00:22:00,0.0050000000000485064,0.004500000000000052,,
2024,5,10,0,40445.68,-21.66,-11032.57,23,2024-05-10 00:23:00,0.00583333333330908,-0.0028333333333333617,,
2024,5,10,0,40445.87,-21.68,-11032.6,24,2024-05-10 00:24:00,0.003166666666705472,-0.0003333333333333262,,
2024,5,10,0,40445.96,-21.62,-11032.65,25,2024-05-10 00:25:00,0.0014999999999417923,0.0009999999999999788,,
2024,5,10,0,40446.02,-21.61,-11032.63,26,2024-05-10 00:26:00,0.000999999999961195,0.0001666666666666927,,
2024,5,10,0,40446.37,-21.68,-11032.59,27,2024-05-10 00:27:00,0.005833333333430346,-0.0011666666666666713,,
2024,5,10,0,40446.56,-22.18,-11032.6,28,2024-05-10 00:28:00,0.0031666666665842056,-0.008333333333333333,,
2024,5,10,0,40446.95,-21.95,-11032.55,29,2024-05-10 00:29:00,0.006499999999990299,0.0038333333333333405,,
2024,5,10,0,40446.91,-22.03,-11032.59,30,2024-05-10 00:30:00,-0.0006666666665599526,-0.001333333333333364,,
2024,5,10,0,40447.12,-21.98,-11032.48,31,2024-05-10 00:31:00,0.003499999999985448,0.0008333333333333452,-0.08140211079059409,-0.12540218116745366
2024,5,10,0,40447.26,-22.11,-11032.43,32,2024-05-10 00:32:00,0.002333333333323632,-0.00216666666666665,-0.06521496643832246,-0.1259524758727006
2024,5,10,0,40447.29,-21.88,-11032.42,33,2024-05-10 00:33:00,0.0004999999999805975,0.0038333333333333405,-0.06593781931286367,-0.12442561757418011
2024,5,10,0,40447.39,-21.66,-11032.53,34,2024-05-10 00:34:00,0.0016666666666424134,0.0036666666666666475,-0.03919026915529188,-0.11667858330674122
2024,5,10,0,40447.66,-22.21,-11032.49,35,2024-05-10 00:35:00,0.004500000000067909,-0.009166666666666679,-0.022600437030336398,-0.10862079544919707
2024,5,10,0,40448.13,-22.63,-11032.53,36,2024-05-10 00:36:00,0.00783333333323147,-0.006999999999999969,-0.061138875057051116,-0.11977716864895113
2024,5,10,0,40449.03,-23.57,-11032.56,37,2024-05-10 00:37:00,0.015000000000024253,-0.015666666666666686,-0.08270967975581077,-0.14211695713995334
2024,5,10,0,40450.37,-24.3,-11032.63,38,2024-05-10 00:38:00,0.02233333333339639,-0.012166666666666675,-0.13114126925978264,-0.18650842358230635
2024,5,10,0,40452.12,-25.19,-11032.55,39,2024-05-10 00:39:00,0.029166666666666667,-0.014833333333333342,-0.1579397433111762,-0.2492884790858384
2024,5,10,0,40453.27,-25.82,-11032.46,40,2024-05-10 00:40:00,0.019166666666569653,-0.010499999999999983,-0.19096579609197048,-0.3230707252064942
2024,5,10,0,40453.99,-25.95,-11032.33,41,2024-05-10 00:41:00,0.012000000000019403,-0.00216666666666665,-0.20457821134741272,-0.34579748626283296
2024,5,10,0,40454.29,-26.92,-11032.19,42,2024-05-10 00:42:00,0.0050000000000485064,-0.016166666666666708,-0.18221123204847553,-0.3447583164704832
2024,5,10,0,40454.78,-27.52,-11032.09,43,2024-05-10 00:43:00,0.008166666666632712,-0.009999999999999964,-0.22017366579054024,-0.32251114808688863
2024,5,10,0,40454.83,-27.45,-11031.88,44,2024-05-10 00:44:00,0.0008333333333818397,0.0011666666666666713,-0.2285239024704439,-0.319824536470487
2024,5,10,0,40454.97,-27.65,-11031.86,45,2024-05-10 00:45:00,0.002333333333323632,-0.0033333333333333214,-0.19450607566719935,-0.2915450563357665
2024,5,10,0,40455.42,-27.77,-11031.72,46,2024-05-10 00:46:00,0.007499999999951493,-0.0020000000000000165,-0.18920788736129537,-0.27910743469589755
2024,5,10,0,40455.44,-27.84,-11031.7,47,2024-05-10 00:47:00,0.00033333333340124227,-0.0011666666666666713,-0.18116162004300404,-0.2843570665234308
2024,5,10,0,40455.69,-28.27,-11031.58,48,2024-05-10 00:48:00,0.004166666666666667,-0.007166666666666662,-0.17106757933493297,-0.2618811872245437
2024,5,10,0,40455.94,-29.06,-11031.53,49,2024-05-10 00:49:00,0.004166666666666667,-0.013166666666666653,-0.1837019591815176,-0.2595271252343349
2024,5,10,0,40455.98,-29.05,-11031.51,50,2024-05-10 00:50:00,0.0006666666666812186,0.0001666666666666335,-0.21635334176189094,-0.2602213361567323
2024,5,10,0,40455.94,-29.19,-11031.47,51,2024-05-10 00:51:00,-0.0006666666666812186,-0.0023333333333333426,-0.19257159498208348,-0.24399262294985888
2024,5,10,0,40455.77,-29.12,-11031.36,52,2024-05-10 00:52:00,-0.0028333333334254955,0.0011666666666666713,-0.19125781081237053,-0.2250092936486908
2024,5,10,0,40456.14,-29.54,-11031.32,53,2024-05-10 00:53:00,0.006166666666710323,-0.006999999999999969,-0.17208621504394395,-0.2001857405137753
2024,5,10,0,40456.58,-29.88,-11031.33,54,2024-05-10 00:54:00,0.007333333333372138,-0.0056666666666666645,-0.18961165247896783,-0.21505872682406968
2024,5,10,0,40457.15,-30.25,-11031.11,55,2024-05-10 00:55:00,0.00949999999999515,-0.006166666666666683,-0.198606089325442,-0.23037584055248891
2024,5,10,0,40457.24,-30.16,-11030.98,56,2024-05-10 00:56:00,0.0014999999999417923,0.0014999999999999976,-0.20774171187612583,-0.2508132830207394
2024,5,10,0,40457.39,-30.41,-11030.66,57,2024-05-10 00:57:00,0.0025000000000242532,-0.004166666666666667,-0.1859224786018895,-0.2334755932319361
2024,5,10,0,40457.66,-30.97,-11030.66,58,2024-05-10 00:58:00,0.004500000000067909,-0.009333333333333312,-0.18522165567759913,-0.2267377950097051
2024,5,10,0,40457.95,-31.31,-11030.65,59,2024-05-10 00:59:00,0.0048333333332266195,-0.0056666666666666645,-0.21231956767514681,-0.22602815222634284
2024,5,10,1,40457.94,-31.31,-11030.33,0,2024-05-10 01:00:00,-0.00016666666657935518,0.0,-0.2162560274942262,-0.2317009500946748
2024,5,10,1,40458.17,-31.68,-11030.06,1,2024-05-10 01:01:00,0.0038333333332654243,-0.006166666666666683,-0.20118846907679483,-0.21447728288488008
2024,5,10,1,40458.15,-31.82,-11029.9,2,2024-05-10 01:02:00,-0.0003333333332799763,-0.0023333333333333426,-0.21148890291259176,-0.21714726948824795
2024,5,10,1,40458.08,-32.23,-11029.82,3,2024-05-10 01:03:00,-0.001166666666661816,-0.006833333333333276,-0.2096276622425266,-0.20438046912246383
2024,5,10,1,40458.35,-32.58,-11029.75,4,2024-05-10 01:04:00,0.004499999999946643,-0.005833333333333357,-0.2264193018137159,-0.19053288335085938
2024,5,10,1,40458.63,-32.66,-11029.58,5,2024-05-10 01:05:00,0.004666666666647264,-0.0013333333333333049,-0.22589941722514234,-0.1979365515190566
2024,5,10,1,40458.7,-32.46,-11029.45,6,2024-05-10 01:06:00,0.001166666666661816,0.0033333333333332624,-0.20984598912851357,-0.19990107067974902
2024,5,10,1,40458.69,-32.74,-11029.31,7,2024-05-10 01:07:00,-0.00016666666657935518,-0.004666666666666685,-0.17253089038275263,-0.18119828405267885
2024,5,10,1,40458.79,-33.06,-11029.14,8,2024-05-10 01:08:00,0.0016666666666424134,-0.005333333333333338,-0.1739770110137388,-0.15359258487060512
2024,5,10,1,40458.95,-33.37,-11028.85,9,2024-05-10 01:09:00,0.0026666666666036085,-0.005166666666666586,-0.17222868485872542,-0.12954923859277903
2024,5,10,1,40459.63,-33.82,-11028.84,10,2024-05-10 01:10:00,0.011333333333338184,-0.007500000000000047,-0.17154146484243085,-0.11757199102458016
2024,5,10,1,40459.51,-34.49,-11028.72,11,2024-05-10 01:11:00,-0.00199999999992239,-0.011166666666666695,-0.18566302559021453,-0.14340226174118212
2024,5,10,1,40460.1,-35.2,-11028.57,12,2024-05-10 01:12:00,0.009833333333275126,-0.011833333333333347,-0.19928061007963857,-0.1174148695835041
2024,5,10,1,40460.33,-35.25,-11028.3,13,2024-05-10 01:13:00,0.00383333333338669,-0.000833333333333286,-0.21612023955022477,-0.14034988541677962
2024,5,10,1,40461.02,-35.39,-11028.15,14,2024-05-10 01:14:00,0.01149999999991754,-0.0023333333333333426,-0.19786072407348443,-0.14027848274319718
2024,5,10,1,40461.45,-35.37,-11028.02,15,2024-05-10 01:15:00,0.007166666666671517,0.0003333333333333854,-0.1886282758349898,-0.1694130693010352
2024,5,10,1,40461.24,-35.06,-11027.87,16,2024-05-10 01:16:00,-0.003499999999985448,0.005166666666666586,-0.17266642845145294,-0.1720960899294026
