year,month,day,hour,H_mean,D_mean,Z_mean
2024,5,10,0,40441.65,-17.41,-11030.68
2024,5,10,0,40441.55,-17.76,-11030.77
2024,5,10,0,40441.9,-18.44,-11030.9
2024,5,10,0,40442,-18.83,-11031.01
2024,5,10,0,40442.09,-19.46,-11031.09
2024,5,10,0,40442.65,-19.72,-11031.12
2024,5,10,0,40442.6,-19.63,-11031.21
2024,5,10,0,40442.48,-19.49,-11031.24
2024,5,10,0,40442.42,-19.54,-11031.49
2024,5,10,0,40442.42,-19.53,-11031.64
2024,5,10,0,40442.69,-19.62,-11031.67
2024,5,10,0,40443.06,-19.63,-11031.9
2024,5,10,0,40443.28,-20.04,-11031.95
2024,5,10,0,40443.52,-20.39,-11032.05
2024,5,10,0,40443.79,-20.6,-11032.03
2024,5,10,0,40444.03,-20.91,-11032.17
2024,5,10,0,40444.06,-21.05,-11032.21
2024,5,10,0,40444.41,-21.1,-11032.35
2024,5,10,0,40444.65,-21.22,-11032.44
2024,5,10,0,40444.85,-21.47,-11032.53
2024,5,10,0,40444.8,-21.63,-11032.53
2024,5,10,0,40445.03,-21.76,-11032.62
2024,5,10,0,40445.33,-21.49,-11032.61
2024,5,10,0,40445.68,-21.66,-11032.57
2024,5,10,0,40445.87,-21.68,-11032.6
2024,5,10,0,40445.96,-21.62,-11032.65
2024,5,10,0,40446.02,-21.61,-11032.63
2024,5,10,0,40446.37,-21.68,-11032.59
2024,5,10,0,40446.56,-22.18,-11032.6
2024,5,10,0,40446.95,-21.95,-11032.55
2024,5,10,0,40446.91,-22.03,-11032.59
2024,5,10,0,40447.12,-21.98,-11032.48
2024,5,10,0,40447.26,-22.11,-11032.43
2024,5,10,0,40447.29,-21.88,-11032.42
2024,5,10,0,40447.39,-21.66,-11032.53
2024,5,10,0,40447.66,-22.21,-11032.49
2024,5,10,0,40448.13,-22.63,-11032.53
2024,5,10,0,40449.03,-23.57,-11032.56
2024,5,10,0,40450.37,-24.3,-11032.63
2024,5,10,0,40452.12,-25.19,-11032.55
2024,5,10,0,40453.27,-25.82,-11032.46
2024,5,10,0,40453.99,-25.95,-11032.33
2024,5,10,0,40454.29,-26.92,-11032.19
2024,5,10,0,40454.78,-27.52,-11032.09
2024,5,10,0,40454.83,-27.45,-11031.88
2024,5,10,0,40454.97,-27.65,-11031.86
2024,5,10,0,40455.42,-27.77,-11031.72
2024,5,10,0,40455.44,-27.84,-11031.7
2024,5,10,0,40455.69,-28.27,-11031.58
2024,5,10,0,40455.94,-29.06,-11031.53
2024,5,10,0,40455.98,-29.05,-11031.51
2024,5,10,0,40455.94,-29.19,-11031.47
2024,5,10,0,40455.77,-29.12,-11031.36
2024,5,10,0,40456.14,-29.54,-11031.32
2024,5,10,0,40456.58,-29.88,-11031.33
2024,5,10,0,40457.15,-30.25,-11031.11
2024,5,10,0,40457.24,-30.16,-11030.98
2024,5,10,0,40457.39,-30.41,-11030.66
2024,5,10,0,40457.66,-30.97,-11030.66
2024,5,10,0,40457.95,-31.31,-11030.65
2024,5,10,1,40457.94,-31.31,-11030.33
2024,5,10,1,40458.17,-31.68,-11030.06
2024,5,10,1,40458.15,-31.82,-11029.9
2024,5,10,1,40458.08,-32.23,-11029.82
2024,5,10,1,40458.35,-32.58,-11029.75
2024,5,10,1,40458.63,-32.66,-11029.58
2024,5,10,1,40458.7,-32.46,-11029.45
2024,5,10,1,40458.69,-32.74,-11029.31
2024,5,10,1,40458.79,-33.06,-11029.14
2024,5,10,1,40458.95,-33.37,-11028.85
2024,5,10,1,40459.63,-33.82,-11028.84
2024,5,10,1,40459.51,-34.49,-11028.72
