p,t,u,v,speed,rh,time,h,report_id
 30.3,336.34999999999997,0.004019477766559604,-0.009156625933395609,0.01,0,19S7-21-47 12:00:00+00,0.1271,19S72147
 30.5,336.04999999999995,0.004848114633100831,-0.029605671492204215,0.03,0,19S7-21-47 12:00:00+00,0.13190000000000002,19S72147
 30.6,335.95,0.008350386057603952,-0.059416084124494215,0.06,0,19S7-21-47 12:00:00+00,0.132,19S72147
 30.8,336.04999999999995,0.0012216089076326382,-0.04998507448905916,0.05,0,19S7-21-47 12:00:00+00,0.13340000000000002,19S72147
 30.9,335.84999999999997,0.0024419415813942747,-0.03992539193687468,0.04,0,19S7-21-47 12:00:00+00,0.1336,19S72147
 30.9,335.75,0.004326305038782058,-0.07988293362609694,0.08,0,19S7-21-47 12:00:00+00,0.13369999999999999,19S72147
 25.3,369.15,-0.0,-0.0,0.0,0,19S7-21-47 12:00:00+00,0.1365,19S72147
 30.6,335.84999999999997,0.008626117726820202,-0.08958565785304608,0.09,0,19S7-21-47 12:00:00+00,0.1373,19S72147
 30.8,335.75,-0.0009946553516557881,-0.029983506478252715,0.03,0,19S7-21-47 12:00:00+00,0.1373,19S72147
 30.6,335.84999999999997,0.002197145913828954,-0.02991943431673374,0.03,0,19S7-21-47 12:00:00+00,0.1375,19S72147
 30.6,335.84999999999997,0.0021252814267246787,-0.019886758882664092,0.02,0,19S7-21-47 12:00:00+00,0.1375,19S72147
 30.9,335.65,0.000872387747306724,-0.019980964431637157,0.02,0,19S7-21-47 12:00:00+00,0.1375,19S72147
 30.9,335.75,0.003135853898029602,-0.029835656861048197,0.03,0,19S7-21-47 12:00:00+00,0.1375,19S72147
 30.9,335.65,0.00115128053919135,-0.019966836332280566,0.02,0,19S7-21-47 12:00:00+00,0.1376,19S72147
 30.7,335.65,0.0023025610783827,-0.03993367266456113,0.04,0,19S7-21-47 12:00:00+00,0.1376,19S72147
 30.9,335.75,0.0018223552549214784,-0.009832549075639544,0.01,0,19S7-21-47 12:00:00+00,0.1387,19S72147
 31.0,335.45,0.02712247648982335,-0.012820735901615768,0.03,0,19S7-21-47 12:00:00+00,0.1396,19S72147
 30.9,335.54999999999995,0.009003187714021935,-0.004352310993723277,0.01,0,19S7-21-47 12:00:00+00,0.1399,19S72147
 31.2,335.84999999999997,0.005660160688395351,-0.04967859278382938,0.05,0,19S7-21-47 12:00:00+00,0.14,19S72147
 30.9,335.75,0.013151134403672333,-0.026963821388975004,0.03,0,19S7-21-47 12:00:00+00,0.14,19S72147
 30.9,335.54999999999995,0.07184220606084925,-0.035195133588473204,0.08,0,19S7-21-47 12:00:00+00,0.1402,19S72147
 30.8,335.95,0.0018395135061272045,-0.009829353491495541,0.01,0,19S7-21-47 12:00:00+00,0.1403,19S72147
 30.8,335.84999999999997,0.004465002320219019,-0.019495223883824436,0.02,0,19S7-21-47 12:00:00+00,0.1403,19S72147
 30.8,335.95,0.005106284974980984,-0.029562236954504703,0.03,0,19S7-21-47 12:00:00+00,0.1403,19S72147
 30.8,335.84999999999997,0.002130303862749768,-0.009770455744352636,0.01,0,19S7-21-47 12:00:00+00,0.1403,19S72147
 30.9,335.65,0.00957383715881214,-0.01755965950855961,0.02,0,19S7-21-47 12:00:00+00,0.1404,19S72147
 30.8,335.84999999999997,0.005518540518381613,-0.029488060474486624,0.03,0,19S7-21-47 12:00:00+00,0.1404,19S72147
 30.8,335.95,0.0019765734037912558,-0.00980271174621722,0.01,0,19S7-21-47 12:00:00+00,0.1404,19S72147
 30.9,335.65,0.01811137598022279,-0.008483988454907805,0.02,0,19S7-21-47 12:00:00+00,0.1406,19S72147
 31.1,335.75,0.0018126516039556014,-0.019917687972319405,0.02,0,19S7-21-47 12:00:00+00,0.1406,19S72147
 31.1,335.75,0.010718894833463355,-0.0792786559771869,0.08,0,19S7-21-47 12:00:00+00,0.1407,19S72147
 30.9,335.65,0.03585945721533763,-0.017722847632967175,0.04,0,19S7-21-47 12:00:00+00,0.1408,19S72147
 25.4,343.84999999999997,-0.029581180267679228,-0.1059478823477424,0.11,0,19S7-21-47 12:00:00+00,0.1408,19S72147
 30.8,335.54999999999995,0.008526401643540921,-0.005224985647159491,0.01,0,19S7-21-47 12:00:00+00,0.1409,19S72147
 31.0,335.34999999999997,0.02994404395265601,-0.0018314561860456931,0.03,0,19S7-21-47 12:00:00+00,0.1409,19S72147
 30.8,335.54999999999995,0.01618033988749895,-0.011755705045849458,0.02,0,19S7-21-47 12:00:00+00,0.14100000000000001,19S72147
 30.8,335.54999999999995,0.016262015220940552,-0.011642459403145794,0.02,0,19S7-21-47 12:00:00+00,0.14100000000000001,19S72147
 30.9,335.65,0.008415107819453062,-0.005402403204776549,0.01,0,19S7-21-47 12:00:00+00,0.14100000000000001,19S72147
 30.8,335.65,0.02538579498382693,-0.015986288282121886,0.03,0,19S7-21-47 12:00:00+00,0.1411,19S72147
 30.8,335.65,0.03354682271781697,-0.021785561400601065,0.04,0,19S7-21-47 12:00:00+00,0.1411,19S72147
 30.8,335.65,0.008231363685344417,-0.005678437450531017,0.01,0,19S7-21-47 12:00:00+00,0.1412,19S72147
 30.8,335.75,0.024812417228236853,-0.016862501335563915,0.03,0,19S7-21-47 12:00:00+00,0.1414,19S72147
 31.1,335.25,0.07353082714041877,0.03151535276727608,0.08,0,19S7-21-47 12:00:00+00,0.1416,19S72147
 30.9,335.65,0.0057214587344551595,-0.008201518758737723,0.01,0,19S7-21-47 12:00:00+00,0.1417,19S72147
 31.1,335.34999999999997,0.029146473599929387,0.007105144381968546,0.03,0,19S7-21-47 12:00:00+00,0.1418,19S72147
 31.0,335.25,0.029219279018371545,0.006799539223105657,0.03,0,19S7-21-47 12:00:00+00,0.1418,19S72147
 31.0,335.04999999999995,0.02557920493062277,0.015674956941478458,0.03,0,19S7-21-47 12:00:00+00,0.1419,19S72147
 25.3,354.15,0.03938012719897747,-0.0070146690436795,0.04,0,19S7-21-47 12:00:00+00,0.1419,19S72147
 31.0,335.65,0.014386796006773023,-0.013893167409179945,0.02,0,19S7-21-47 12:00:00+00,0.14200000000000002,19S72147
 31.0,335.25,0.02940813523865166,0.005929720211373765,0.03,0,19S7-21-47 12:00:00+00,0.14200000000000002,19S72147
 30.9,335.25,0.016014627418974667,0.01198047197031172,0.02,0,19S7-21-47 12:00:00+00,0.1421,19S72147
 30.9,335.45,0.01495596180997064,-0.01327852425304483,0.02,0,19S7-21-47 12:00:00+00,0.1421,19S72147
 30.9,335.65,0.007793379649314739,-0.006266038113644607,0.01,0,19S7-21-47 12:00:00+00,0.1421,19S72147
 31.0,335.34999999999997,0.007524149088957245,0.006586894601186804,0.01,0,19S7-21-47 12:00:00+00,0.1422,19S72147
 31.1,335.15,-0.0,0.0,0.0,0,19S7-21-47 12:00:00+00,0.14250000000000002,19S72147
 25.2,352.25,0.2579498223417643,-0.0325866407267191,0.26,0,19S7-21-47 12:00:00+00,0.1428,19S72147
 25.4,346.54999999999995,-0.0006980962574913405,-0.039993907806255655,0.04,0,19S7-21-47 12:00:00+00,0.1445,19S72147
 25.1,349.04999999999995,-0.0057569551867238215,-0.10984924882300312,0.11,0,19S7-21-47 12:00:00+00,0.15059999999999998,19S72147
 25.6,358.84999999999997,-2.5925616825440194,-0.9466910384093233,2.76,0,19S7-21-47 12:00:00+00,0.1555,19S72147
 25.8,358.25,-1.7659507575628495,-1.5806068207695418,2.37,0,19S7-21-47 12:00:00+00,0.1687,19S72147
 25.7,357.25,-1.3337044967469283,-1.5037726940455536,2.01,0,19S7-21-47 12:00:00+00,0.1996,19S72147
 24.2,351.15,1.6094629633784123,1.4851696770110747,2.19,0,19S7-21-47 12:00:00+00,0.5514,19S72147
 23.7,352.95,1.4305579553755314,2.3836744610604397,2.78,0,19S7-21-47 12:00:00+00,0.6359,19S72147
 23.1,354.04999999999995,1.2596086352968399,2.263070057661855,2.59,0,19S7-21-47 12:00:00+00,0.6939,19S72147
 23.0,354.04999999999995,1.199334258233886,2.374278277082654,2.66,0,19S7-21-47 12:00:00+00,0.7074,19S72147
 22.9,354.15,1.2077606468743696,2.2571916666206273,2.56,0,19S7-21-47 12:00:00+00,0.7208,19S72147
 21.9,355.54999999999995,0.24034171842462573,2.0459315380492815,2.06,0,19S7-21-47 12:00:00+00,0.839,19S72147
 21.6,355.15,-0.4965706106201686,2.0095565751350004,2.07,0,19S7-21-47 12:00:00+00,0.9124,19S72147
 21.5,355.54999999999995,-0.5918164538688392,2.0357193531845477,2.12,0,19S7-21-47 12:00:00+00,0.9215,19S72147
