time,fried,eps,year,month,hour
2017-07-02 12:00:00+00,0.0783302454473697,1.2586842028975624,2017,7,12
2017-07-05 12:00:00+00,0.08640854890269214,1.1410102797203807,2017,7,12
2017-07-07 12:00:00+00,0.0893405721972405,1.1035640373561235,2017,7,12
2017-07-09 12:00:00+00,0.09454859257278128,1.042776416558484,2017,7,12
2017-07-10 12:00:00+00,0.08597265467788466,1.146795372587869,2017,7,12
2017-07-11 12:00:00+00,0.07785178964569076,1.2664197316772958,2017,7,12
2017-07-12 12:00:00+00,0.07474081753266927,1.3191325143131842,2017,7,12
2017-07-13 12:00:00+00,0.08196323862960125,1.2028934459171776,2017,7,12
2017-07-14 12:00:00+00,0.07487069748040673,1.3168441843285115,2017,7,12
2017-07-15 12:00:00+00,0.06340879934488225,1.5548795052472544,2017,7,12
2017-07-16 12:00:00+00,0.07223163404613804,1.364956557548131,2017,7,12
2017-07-17 12:00:00+00,0.09058694216988779,1.0883802918172294,2017,7,12
2017-07-18 12:00:00+00,0.07672065008412723,1.2850913338922672,2017,7,12
2017-07-19 12:00:00+00,0.06581768818374557,1.4979718260302195,2017,7,12
2017-07-21 12:00:00+00,0.05807140998864927,1.6977897139567322,2017,7,12
2017-07-22 12:00:00+00,0.08811618107280977,1.118898269912835,2017,7,12
2017-07-23 12:00:00+00,0.06809305661764108,1.4479162406721826,2017,7,12
2017-07-24 12:00:00+00,0.08860025023996819,1.1127851477468733,2017,7,12
2017-07-25 12:00:00+00,0.0794849107883486,1.2403994868438015,2017,7,12
2017-07-26 12:00:00+00,0.05958639733495239,1.6546233194712698,2017,7,12
2017-07-28 12:00:00+00,0.08284259134554425,1.1901250425937557,2017,7,12
2017-07-30 12:00:00+00,0.07118128298086318,1.3850978575393103,2017,7,12
2017-07-31 12:00:00+00,0.08156758261693396,1.2087282642261903,2017,7,12
2017-08-01 12:00:00+00,0.07037949333384418,1.4008774130557917,2017,8,12
2017-08-02 12:00:00+00,0.08332980729177614,1.1831665733783971,2017,8,12
2017-08-03 12:00:00+00,0.08414859373221291,1.1716540726449545,2017,8,12
2017-08-05 12:00:00+00,0.08264291249390088,1.1930005801885215,2017,8,12
2017-08-07 12:00:00+00,0.06472205738711019,1.5233298589999456,2017,8,12
2017-08-08 12:00:00+00,0.07205135498665957,1.368371803305401,2017,8,12
2017-08-09 12:00:00+00,0.05039424397267944,1.9564346000932933,2017,8,12
2017-08-10 12:00:00+00,0.07041402208025771,1.4001904683319588,2017,8,12
2017-08-12 12:00:00+00,0.06641449638693517,1.484510881167923,2017,8,12
2017-08-15 12:00:00+00,0.07583754277869832,1.3000558686533068,2017,8,12
