,fried,fried,fried,fried,fried,eps,eps,eps,eps,eps
,p05,p25,p50,p75,p95,p05,p25,p50,p75,p95
month,,,,,,,,,,
1,0.11870825397429327,0.12234853781856171,0.1256014474377521,0.12783871433835467,0.13429160120509934,0.7341713385752405,0.7712299726448917,0.7849674410992414,0.80583840942239,0.8305494183254322
2,0.11958164442814194,0.12253670932302496,0.12579877377303894,0.13039340535698854,0.13594205701029774,0.7252588948161388,0.7561198728537497,0.783736185478189,0.8046000926783718,0.824483595739662
3,0.1243664995348008,0.1262076266160646,0.1287502644964056,0.13068328156935993,0.13414128062821207,0.7349946372159946,0.7544428001837392,0.7657696834520629,0.7811977676016744,0.7927620623665497
4,0.11632112630721311,0.12210350810050383,0.12869768905234938,0.1315518835338052,0.13440141966728067,0.7335714370973748,0.7494613050928908,0.7660831144283733,0.8074557812839207,0.8475945599767528
5,0.10286140990440089,0.11548036732868798,0.11897583940464673,0.12348110404785358,0.1274957678099112,0.773306657090798,0.7984467983953959,0.8286812568031707,0.8537645645026269,0.9585038324693571
6,0.10387977047322514,0.11245308264547785,0.1163456200053676,0.12118155519636878,0.12789244161994634,0.7709068016119086,0.8136087155640471,0.8474152388899328,0.8767482430150862,0.949107397994625
7,0.10325172076802112,0.11261545964266563,0.11656205908789428,0.11955517803633997,0.12555379489516613,0.7852654254805553,0.8246657224517104,0.84584273117755,0.8754868667212063,0.9548812591523649
8,0.10347484738459276,0.11008652195164795,0.11348955534653779,0.1178511898554008,0.1256571140620807,0.7846198649453683,0.8365895540373888,0.8687427192561689,0.8955998894146165,0.9528268534931728
9,0.1118925009743345,0.11852975616474701,0.12444374876496767,0.12843077055839613,0.13114678756519985,0.7517771585233163,0.767675558703031,0.792270355643786,0.8318001446346945,0.8811422186751603
10,0.1180418578628284,0.1260861954501029,0.12863263343816067,0.13138433974501754,0.13614871656885152,0.7241586208326362,0.7504171642974161,0.7664699560589583,0.7819502151861989,0.83524050656037
11,0.12452133236688448,0.12679672758064509,0.12871775385445122,0.13071608612603694,0.1351667581080858,0.7294182654737518,0.7542533314176642,0.7659630626592824,0.7775687247473234,0.791776457906031
12,0.12040065990344868,0.12419522334398041,0.127220161327269,0.12962100711868554,0.13487153086893194,0.7310170529762114,0.7606262337515568,0.774979781589463,0.7938553578573018,0.8188790869898993
